"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12782","Verify that user can access forgot password link @smoke @regression","","Tue Sep 30 09:27:15 UTC 2025","passed","Tue Sep 30 09:27:27 UTC 2025","","Forgot Password Tests @forgot password","",""
"","14119","Verify that an extremely large quota is accepted","","Tue Sep 30 09:28:59 UTC 2025","passed","Tue Sep 30 09:29:13 UTC 2025","","Campaign Quota Tests @campaignQuota: Campaign Quota Only Regression Tests @regression","",""
"","0","Verify that concurrent quota updates are correctly handled and last save wins","","Tue Sep 30 09:30:14 UTC 2025","skipped","Tue Sep 30 09:30:14 UTC 2025","","Campaign Quota Tests @campaignQuota: Campaign Quota Only Regression Tests @regression","",""
"","5087","Verify that Valid email is accepted on Forgot Password page @smoke @regression","","Tue Sep 30 09:27:35 UTC 2025","passed","Tue Sep 30 09:27:40 UTC 2025","","Forgot Password Tests @forgot password","",""
"","21152","Verify that quota value persists across sessions","","Tue Sep 30 09:28:17 UTC 2025","passed","Tue Sep 30 09:28:38 UTC 2025","","Campaign Quota Tests @campaignQuota: Campaign Quota Only Regression Tests @regression","",""
"","14191","Verify that negative quota input is handled","","Tue Sep 30 09:29:41 UTC 2025","passed","Tue Sep 30 09:29:55 UTC 2025","","Campaign Quota Tests @campaignQuota: Campaign Quota Only Regression Tests @regression","",""
"","20731","Verify that blank quota input is handled","","Tue Sep 30 09:28:38 UTC 2025","passed","Tue Sep 30 09:28:59 UTC 2025","","Campaign Quota Tests @campaignQuota: Campaign Quota Only Regression Tests @regression","",""
"","17980","Verify login with valid credentials","","Tue Sep 30 09:27:15 UTC 2025","passed","Tue Sep 30 09:27:33 UTC 2025","","Login Tests @regression @smoke @login","",""
"","26114","Verify that an existing quota can be edited","","Tue Sep 30 09:27:51 UTC 2025","passed","Tue Sep 30 09:28:17 UTC 2025","","Campaign Quota Tests @campaignQuota: Campaign Quota Smoke and Regression Tests @smoke @regression","",""
"","4721","Verify that login with invalid credentials are not allowed","","Tue Sep 30 09:27:35 UTC 2025","passed","Tue Sep 30 09:27:40 UTC 2025","","Login Tests @regression @smoke @login","",""
"","4593","Verify that user is able to submit the registration request @smoke @regression","","Tue Sep 30 09:27:34 UTC 2025","passed","Tue Sep 30 09:27:39 UTC 2025","","Registration Tests @registration","",""
"","2262","Verify that Email and Password are mandatory","","Tue Sep 30 09:27:33 UTC 2025","passed","Tue Sep 30 09:27:35 UTC 2025","","Login Tests @regression @smoke @login","",""
"","14234","Verify that non-numeric quota input is rejected","","Tue Sep 30 09:29:13 UTC 2025","passed","Tue Sep 30 09:29:27 UTC 2025","","Campaign Quota Tests @campaignQuota: Campaign Quota Only Regression Tests @regression","",""
"","36969","Verify that quota can be set for a cookie variety (standard)","","Tue Sep 30 09:27:14 UTC 2025","passed","Tue Sep 30 09:27:51 UTC 2025","","Campaign Quota Tests @campaignQuota: Campaign Quota Smoke and Regression Tests @smoke @regression","",""
"","3785","Verify that Invalid email is not accepted on Forgot Password page @regression","","Tue Sep 30 09:27:31 UTC 2025","passed","Tue Sep 30 09:27:35 UTC 2025","","Forgot Password Tests @forgot password","",""
"","19193","Verify that the Cancel button discards unsaved changes to quotas.","","Tue Sep 30 09:29:55 UTC 2025","passed","Tue Sep 30 09:30:14 UTC 2025","","Campaign Quota Tests @campaignQuota: Campaign Quota Only Regression Tests @regression","",""
"","3449","Verify that Email is mandatory field on Forgot Password page @smoke @regression","","Tue Sep 30 09:27:27 UTC 2025","passed","Tue Sep 30 09:27:31 UTC 2025","","Forgot Password Tests @forgot password","",""
"","12095","Verify that the user is able to access the request for registration email link @smoke @regression","","Tue Sep 30 09:27:17 UTC 2025","passed","Tue Sep 30 09:27:29 UTC 2025","","Registration Tests @registration","",""
"","4846","Verify that user is not able to submit request when council has not started the process @regression","","Tue Sep 30 09:27:29 UTC 2025","passed","Tue Sep 30 09:27:34 UTC 2025","","Registration Tests @registration","",""
"","13865","Verify that decimal quota input is handled","","Tue Sep 30 09:29:27 UTC 2025","passed","Tue Sep 30 09:29:41 UTC 2025","","Campaign Quota Tests @campaignQuota: Campaign Quota Only Regression Tests @regression","",""
